num_leaves,max_depth,learning_rate,min_split_gain,reg_alpha,reg_lambda,seed,roc_auc
2,1,0.1,0.49999999999999994,0.25504164262181095,0.16601100559795534,3200,0.5927766778244536
2,37,0.1,0.0017083598574612184,0.35473680159700977,0.37039550005948524,2527,0.592792382847299
2,72,0.1,0.0022396131070980957,0.1259788053882414,0.08223296713126109,539,0.5927703145824387
2,72,0.1,0.0006078886160174574,0.31954645001562676,0.44420474390411263,752,0.5927945490573466
2,40,0.11389829699769353,0.19927228783074555,0.3411037175988866,0.3877867192368462,2422,0.5923053917509639
2,48,0.12522823659905813,0.04655962916209796,0.3830632525201375,0.00781444097049786,2829,0.5922641660659946
50,1,0.1,0.0008725277400952146,0.3146404037303665,0.05544863078620198,442,0.5927788440345012
53,96,0.10251809649994624,0.013139017431952536,0.3608427259227351,0.17877377757805438,2160,0.5465727036955003
31,1,0.2916013853281464,0.009355933955027308,0.45221471011109565,0.3308469668012477,2246,0.5870450214265251
6,11,0.10242263574753974,0.002386332296675903,0.06414550809497536,0.42922230769321673,661,0.5737090200444832
80,2,0.11063535155782067,0.17271543856745725,0.43937522914541627,0.1211015881153419,832,0.5834543251903692
100,1,0.18981405707952576,0.0016076165055888972,0.12233184618607508,0.07760282088271926,1798,0.5903597289637987
51,1,0.2326700391118024,0.045037318125762345,0.42916082108783576,0.12417885224190627,1391,0.5885361862680696
79,100,0.10211206318847599,0.33136828504947957,0.13777225461724307,0.2715085346338823,2145,0.5400074625936141
2,18,0.19003157195185602,0.3479407914971113,0.004609636440866846,0.20464655727479195,775,0.590352147228632
26,79,0.10102495908928906,0.05458438702148647,0.11407172892188196,0.475445734793346,2640,0.5509150071241233
25,31,0.1098691067432728,0.0942556210318836,0.28591786497132776,0.42860543566747156,1381,0.5597279619266922
68,1,0.33111528598597145,0.38046463384775636,0.3164519401660019,0.02777473765620441,2076,0.585576263320161
45,76,0.10118629966063519,0.0019033085445065514,0.033375097809673245,0.018239107702770426,788,0.5413237059738116
2,95,0.2150148620329011,0.0731281692293819,0.3195118991407241,0.19859261138633946,161,0.5889034265652087
16,2,0.48756854747599754,0.10383075202803084,0.06948879001887064,0.46572082292551004,2408,0.560090666721544
11,43,0.10344180063941472,0.03565985681450658,0.3492597071641953,0.42242465462790785,1823,0.5678416370482572
100,60,0.10256910517113026,0.02075120972339534,0.37507427170182306,0.2912613023712862,474,0.5505949495895844
2,86,0.10107770439963791,0.02753628725038855,0.4032404102938322,0.14675060046036614,832,0.5927317966600291
19,100,0.48215540429376724,0.008560383310349853,0.31573273803018126,0.013961952780566202,1307,0.5172614447646223
2,100,0.1,0.49999999999999994,0.4183869689655964,0.3609218365886204,3200,0.5927550157239772
70,1,0.10032675444881815,0.001561359133480053,0.3556260700786376,0.3482167621005801,2696,0.5928173619569108
2,31,0.10463028817615219,0.13785880855151844,0.3346519546733773,0.17692043894548362,1615,0.5926688411805194
2,62,0.49963673564687616,0.0038771278436982733,0.03906741143153924,0.07553321209392312,2952,0.5814474669693585
76,48,0.4882934945090024,0.06362603819451106,0.010277554877054855,0.08444498084199713,2966,0.5181889888293963
13,3,0.10204793157911807,0.06920500753722007,0.2354601135051594,0.22887085480250988,3186,0.5750130107990986
2,32,0.5,0.08367441728520662,0.10976988330170233,0.3268689541626195,1853,0.5814711598917545
100,1,0.1,0.49999999999999994,0.5,1e-06,3200,0.5927466216600425
2,82,0.4237604463676997,0.0036514456166005372,0.198720547161244,0.25849256514924934,12,0.5833728215373268
2,64,0.1,0.02475551159573346,1e-06,0.2551532853048861,3200,0.592654016180506
83,51,0.10250419425825674,0.0010647262931816628,0.40041270615963315,0.0754961127108899,1458,0.5516275548416689
68,100,0.10480146956774013,0.0005408239373601853,0.01617111158055143,0.3003004721944385,1217,0.5420388260657889
87,1,0.3429842182124381,0.0018300958096123415,0.15835362789048912,0.3781212925908784,846,0.5851497907170318
71,54,0.103679452776576,0.0006016575061497303,0.10837953871563116,0.2667327908939337,2246,0.5527156692262244
